"","id","count","winner","loser","Score","White","Black"
"1",1,1,"civilian","steverogers",1,1,60
"2",2,1,"bucky","civilian",1,2,1
"3",3,1,"redskull","civilian",1,3,1
"4",4,1,"hydrasoldier","usarmysoldier",1,4,8
"5",5,1,"hydrasoldier","abrahmeskine",0.666666666666667,4,61
"6",6,1,"usarmysoldierww2","hydrasoldier",1,5,4
"7",7,1,"peggycarter","hydrasoldier",1,6,4
"8",8,1,"captainamerica","hydrasoldier",1,7,4
"9",9,1,"redskull","nazisoldier",1,3,62
"10",9,2,"redskull","nazisoldier",1,3,62
"11",9,3,"redskull","nazisoldier",1,3,62
"12",10,1,"captainamerica","hydrasoldier",1,7,4
"13",10,2,"captainamerica","hydrasoldier",1,7,4
"14",10,3,"captainamerica","hydrasoldier",1,7,4
"15",10,4,"captainamerica","hydrasoldier",1,7,4
"16",10,5,"captainamerica","hydrasoldier",1,7,4
"17",11,1,"capteam","hydrasoldier",1,9,4
"18",11,2,"capteam","hydrasoldier",1,9,4
"19",11,3,"capteam","hydrasoldier",1,9,4
"20",11,4,"capteam","hydrasoldier",1,9,4
"21",12,1,"captainamerica","hydrasoldier",1,7,4
"22",12,2,"captainamerica","hydrasoldier",1,7,4
"23",12,3,"captainamerica","hydrasoldier",1,7,4
"24",12,4,"captainamerica","hydrasoldier",1,7,4
"25",12,5,"captainamerica","hydrasoldier",1,7,4
"26",13,1,"captainamerica","redskull",1,7,3
"27",14,1,"captainamerica","hydrasoldier",1,7,4
"28",14,2,"captainamerica","hydrasoldier",1,7,4
"29",14,3,"captainamerica","hydrasoldier",1,7,4
"30",16,1,"capteam","hydratank",1,9,63
"31",17,1,"bucky","hydrasoldier",1,2,4
"32",18,1,"captainamerica","hydrasoldier",1,7,4
"33",18,2,"captainamerica","hydrasoldier",1,7,4
"34",18,3,"captainamerica","hydrasoldier",1,7,4
"35",19,1,"captainamerica","hydrasupertank",0.75,7,64
"36",19,1,"capteam","hydrasupertank",0.75,9,64
"37",20,1,"redskull","hydrasoldier",1,3,4
"38",21,1,"bucky","hydrasoldier",1,2,4
"39",21,2,"bucky","hydrasoldier",1,2,4
"40",22,1,"captainamerica","hydrasoldier",1,7,4
"41",23,1,"captainamerica","hydrasoldier",0.75,7,4
"42",23,1,"bucky","hydrasoldier",0.75,2,4
"43",24,1,"hydrasoldier","captainamerica",1,4,7
"44",25,1,"hydrasoldier","bucky",1,4,2
"45",26,1,"captainamerica","hydrasoldier",1,7,4
"46",27,1,"capteam","dr.zola",1,9,65
"47",28,1,"capteam","hydrasoldier",1,9,4
"48",29,1,"captainamerica","hydrasoldier",1,7,4
"49",29,2,"captainamerica","hydrasoldier",1,7,4
"50",29,3,"captainamerica","hydrasoldier",1,7,4
"51",29,4,"captainamerica","hydrasoldier",1,7,4
